run,length,iter,process,time
omp,50,1901,2,0.204978
omp,50,1901,3,0.179074
omp,50,1901,4,0.78308
omp,50,1901,5,12.9388
omp,50,1901,6,0.704157
omp,50,1901,7,0.436037
omp,50,1901,8,0.38113
omp,50,1901,9,1.14035
omp,600,1000,10,8.28604
omp,600,1000,11,4.94689
omp,600,1000,10,8.31601
omp,600,1000,11,8.18547
omp,600,1000,12,8.16787
omp,600,1000,14,7.7457
omp,600,1000,16,7.59549
omp,600,1000,1,5.73887
omp,600,1000,2,6.19627
omp,600,1000,3,3.74456
omp,600,1000,4,7.1123
omp,600,1000,5,8.49766
omp,600,1000,6,8.25554
omp,600,1000,7,8.28725
omp,600,1000,8,8.15675
omp,600,1000,9,8.12346
seq,100,4961,1,0.666983
seq,50,1901,1,0.106622
seq,1000,1000,1,17.3395
seq,100,4961,1,0.665802
seq,200,9890,1,6.07693
seq,50,1901,1,0.074778
seq,600,1000,1,6.69517
seq,1000,1000,1,16.8996
seq,100,4961,1,0.769426
seq,200,9890,1,5.98807
seq,400,1000,1,2.93798
seq,500,1000,1,3.88081
seq,50,1901,1,0.148228
seq,600,1000,1,6.04528
